<a0> <a1> <a2> <a3> <b0> <b1> <b2> <b3> <c0> <r> <r_gold>
10 -6.5 -0.9375 -8 9 -4.5 -8 -0.375 1.875 128 128
3.25 7.5 -1.625 -4 -9 -10 -8 -2.75 7 -72 -72
3.5 -1.625 -2 -5 5.5 -4.5 -0.40625 3.75 7.5 13 18
1.875 -2.5 1.75 -4 -9 -3.25 -0.40625 -3.5 -7.5 -2 -2.5
-1.875 7 -4.5 8 4 1.875 -9 5 -10 80 72
9 7 -9 4.5 2.75 -7.5 8 1.625 -3.5 -96 -88
9 3.75 6.5 -10 -0.25 2 -10 -0.5625 -0.171875 -56 -56
10 -10 -9 3.25 0.0429688 8 -7 1.375 -5.5 -20 -18
7.5 0.625 -7.5 7 -6 -5.5 -2.25 -4.5 2.5 -64 -60
-5 2.5 6 8 10 -3.25 1.75 -0.9375 -8 -60 -64
-2.25 -2.5 -3.5 -9 -3.5 -9 9 7 -10 -72 -72
-3.25 5.5 -1.375 -7 -5 3.25 5 0.8125 6 26 24
-6 8 -2.75 -4 8 -8 -6 5 8 -112 -104
5.5 7.5 -5.5 -0.0585938 -7.5 -7 5 -4.5 -1.75 -120 -128
-4 9 7 0.6875 -1.5 -5.5 -2.75 -9 -0.5 -72 -64
5 -7.5 2 -1.625 0.8125 -5.5 -4.5 -9 1.625 56 52
-0.234375 -0.625 -3 -2.25 9 -0.25 3.75 2.5 7 -12 -11
3.5 -1.375 -6.5 -5.5 -4.5 0.25 -3 -2.75 5.5 26 26
1.25 -7.5 -5 4.5 -5 -2.25 -0.875 1.625 -7 15 15
3.25 -5 1.375 7.5 4.5 0.75 9 1.875 5.5 44 44
-6 1.125 0.203125 -2.25 -0.6875 9 7.5 -7.5 7 40 40
2.25 5.5 6.5 -1.625 2.5 -1.25 -0.5 -0.0429688 -7 -11 -12
10 3 5.5 -2.25 8 -7 -3.75 2.25 3.5 36 40
9 6.5 -8 -6.5 -8 2.5 -5 -7.5 10 40 40
2.75 1.25 -10 3 -5.5 9 7.5 -7.5 -1.5 -104 -104
6.5 -10 5 -7.5 -10 -3.25 -7.5 3 -1.5 -96 -88
-0.34375 9 -0.25 9 -8 -7 8 5 -6.5 -20 -26
-3.5 7.5 -9 9 -5.5 4.5 7 3.5 -7 12 13
5.5 -4.5 -5.5 -1.375 7.5 3.5 -4 -6 -5.5 48 52
-4 0.625 -8 0.234375 1.625 3.5 -9 6 4 72 64
10 8 9 -6 -9 -5.5 3.75 1.625 -8 -120 -112
7.5 -10 -8 5.5 3.25 8 -7.5 -3.25 -2.75 -14 -16
3.5 1.375 -2.75 -0.3125 -6 -10 -8 -10 -3.5 -11 -10
-8 3.5 8 -1.125 9 -5.5 -3.5 6 -8 -128 -128
7 7.5 -6 0.8125 9 -4.5 0.34375 -3.5 5.5 32 32
-4 3.25 10 8 4.5 -9 -9 4 7.5 -96 -88
-1.75 9 -4.5 -7.5 10 7 3 -7.5 3.5 96 88
7.5 -1.5 -5 6.5 6.5 -8 -0.9375 -9 -5.5 1.5 -1.5
5.5 4.5 -7.5 7.5 7.5 5 8 -8 10 -48 -48
-5 0.8125 -8 -2 -4.5 -4 -3.25 -7.5 7.5 64 64
-7.5 -0.625 -0.8125 6.5 -4 -6.5 3 -10 -0.28125 -32 -32
-5 2.25 1.875 8 10 8 -3.25 -6 9 -80 -72
6.5 4 -4.5 5.5 10 -4.5 -1.375 -5 9 36 36
-4.5 -3.75 6 -3.5 3.5 -0.5 6 9 -5.5 -16 -16
6 2.25 9 -2.5 4 5.5 7 4.5 -5 88 80
8 -7 6.5 -3.5 -6 -3.75 9 -9 -9 60 64
0.25 9 8 -10 0.5 9 6.5 8 -0.0195312 48 48
-7.5 0.9375 2.25 -9 0.8125 5.5 -0.171875 -0.625 9 13 13
-8 3.5 -9 10 6 -2 4 2.75 -1.75 -72 -64
-6 -9 -6 2.25 2.75 -5 7 6.5 10 13 13
1.125 -4.5 -10 -0.6875 -9 0.34375 -4 9 9 30 32
10 -2.5 5 -3.5 -4 -3.5 -7 -5 -1.125 -48 -48
6 4.5 -5 0.9375 -4.5 3.25 -0.0234375 9 -1.625 -4.5 -6.5
1.625 -10 -9 -6.5 -3.5 1.625 10 6 -5.5 -160 -160
-2.5 0.0214844 9 7.5 3.5 9 4.5 7 -1.125 80 80
9 -4.5 1.5 -1.625 0.117188 -2.5 7 6 -2.25 10 10
1.375 -5 4.5 6 0.40625 7.5 -5 -9 -10 -128 -120
5 -4.5 2.75 -2 -8 -2.5 -6.5 8 -3 -64 -64
8 1 2.5 -10 4 -2.75 6 10 1.75 -56 -52
-0.625 3 -5 -5.5 -1.25 -1.125 -8 9 8 -5.5 -4
-3.5 -1 -5.5 5 -2 1.75 7.5 -5.5 3.25 -60 -60
-1.625 9 -6 -4.5 -9 -4.5 -5 2.5 -3.25 -11 -8
-2.5 6.5 7 6.5 -6 -9 -8 -9 3.5 -160 -160
-8 7 -1.25 3.75 5 -7 -4 -8 -8 -120 -120
10 6 -6 -2.5 -9 -7 -8 -4 3.25 -72 -72
-3.5 9 -9 2.25 -4 -2.25 -7.5 4 2.25 72 64
-6 0.875 -2.5 -1.625 6 1.25 -8 -1.5 -4 -18 -18
7.5 1.25 -9 8 -7 -9 -10 9 2.5 104 96
-6 -8 -7 -7 -9 5.5 -3 -2 -0.5 40 48
5 -3.5 -9 -5 -0.140625 7.5 -6.5 7.5 -0.875 -7.5 -5
7.5 3.75 -7.5 -1.625 6.5 9 -9 -0.9375 -6 144 144
-2.75 8 2.5 6.5 -5.5 1.875 4 4.5 -2.75 72 72
2.75 3.75 -5.5 -6 -6.5 2.75 1.625 -2.25 -6.5 -8 -8
10 -1.375 -9 7 -3 -0.75 9 -7.5 -0.75 -160 -160
5 -2.75 6 6.5 -4.5 10 1.75 7.5 5 16 13
2.5 3 6.5 -0.28125 8 9 3 -4.5 -1.25 64 64
-0.40625 -4.5 8 2.75 -1.125 4 4.5 0.46875 6 26 26
-2.25 -7 0.375 6 8 5.5 -6.5 4.5 -8 -36 -40
-5.5 -3.75 -1.25 -5.5 1.625 -3 5.5 -1.875 -7.5 -1.75 -2.5
-9 4 0.5 -2.25 0.8125 -0.625 8 5 8 -9 -8
-1.875 -1.75 0.625 -5.5 6.5 3.75 8 -3.5 -9 -5 -2
-4.5 -9 7.5 -5 1.5 9 -6 -8 -1.625 -88 -88
4 0.078125 9 -3.75 6.5 5 4 3.25 8 52 60
3.25 6 4 -2.25 -4.5 2.25 -5.5 7.5 -0.28125 -40 -40
7.5 -10 -6 3.75 4 9 -6 5 -5 -9 -7
3.75 10 3 0.09375 -9 0.9375 -6.5 -8 7 -36 -36
7 1.5 -0.9375 -1.25 -0.8125 5 10 7 1.125 -15 -15
-8 6 -6 5.5 -4 7.5 6 -4.5 -1.375 11 18
-3 0.46875 2.5 -8 6.5 0.625 9 -3.25 1.125 30 30
-8 -9 4 -2.5 5.5 2.5 -9 -5.5 2.75 -80 -80
-6.5 -6 -3 -1.75 6.5 -1.125 -2 4.5 9 -28 -32
-1 -5 4 9 5 7.5 4.5 1.375 -10 -20 -20
-5 4 7 2 -6.5 3.25 0.625 6.5 -7.5 52 52
0.046875 3.5 1.375 1.25 -10 -2 -8 5.5 -6.5 -18 -18
-4.5 2.5 -4.5 -10 10 4 10 1.375 -0.9375 -96 -96
-0.875 -5 0.15625 1.875 -1.75 6.5 1 0.75 -10 -40 -40
-7.5 -7.5 -4 -10 -9 -4 7 -5.5 -2.75 120 120
1.125 6.5 -0.6875 1.625 -10 -0.875 7.5 -1.625 8 -16 -14
0.875 -6 -7.5 10 -5.5 -7 -9 2.25 2.25 128 120
-4.5 -6 5 -9 5.5 -2.75 -6.5 6 -0.34375 -96 -96
5 4.5 -9 -6 -2.25 3.5 -5 -0.8125 -8 44 44
5.5 3 -7.5 -3 2.25 -7.5 1.5 -2.5 2.25 -10 -10
-10 4.5 -1.875 6 1.875 1.125 -4.5 -2 -3.25 -20 -20
5.5 0.875 5.5 7.5 -7 6 -7.5 -1.5 -8 -96 -96
-6.5 -6 3.5 6 -7 -5.5 -7 9 10 120 120
10 6.5 -9 9 -1.75 6.5 1.875 -2.75 -0.171875 -18 -14
-8 4.5 2.75 6 0.171875 -1.625 8 3.5 1.375 36 32
8 6.5 9 -6.5 3 1.625 -8 3.25 -1 -56 -56
9 -0.5 0.0585938 0.9375 -4 1.5 6.5 3 0.9375 -32 -32
10 3.5 6 -6 0.9375 4.5 -9 8 -2.75 -80 -80
-7 -9 2.75 5.5 1.125 2.75 -5 -3.5 -2.75 -64 -64
10 -7 -8 3.75 -6 4.5 -1.375 10 -9 -60 -60
-3.5 9 -5 3.25 2.75 -9 10 -9 -8 -176 -160
9 -8 -1 8 1 9 -9 6.5 -4 -4 -8
10 -8 8 -5.5 9 -7.5 -4.5 2.75 8 112 104
8 5.5 -2 -5.5 9 -6 6.5 7.5 0.0703125 -13 -12
6 -3.75 -4.5 -1 6 5 2 7 -8 -7 -6
3 1 8 -2.75 7.5 -6 -0.875 0.9375 9 18 16
2.5 10 3 0.75 1.125 -2.25 -2.5 -7.5 -4 -36 -36
-4 0.625 9 -2.75 9 -10 -1.25 10 -5.5 -88 -88
-3.5 -4.5 -1.75 -9 5.5 1.5 8 2 -0.5 -56 -56
-6 3.75 -9 9 -7.5 -0.9375 3.5 10 7.5 104 104
2.5 -9 -6 -0.6875 6 10 -5 -1.5 -4.5 -48 -44
3.5 6 -1.875 -5.5 -1.75 6.5 7.5 6 4.5 -11 -10
-2.25 3.25 -6.5 -3.75 -1.125 -6 5 2.5 2.25 -56 -52
10 5.5 9 7.5 -9 -3.5 0.8125 0.6875 1 -88 -96
0.0078125 -6.5 -0.21875 9 -6 3.5 -9 -1.875 7 -30 -28
-7.5 2.25 4.5 0.9375 -0.9375 7.5 -4.5 9 -0.0351562 12 12
-9 -0.34375 -3.25 0.75 -8 -0.09375 -4.5 5 -3.5 88 88
-3.75 1.625 0.4375 -0.8125 7 -2.5 -2.75 -7 9 -18 -16
7 -3.75 -8 -4.5 5.5 -3.25 -9 -8 -4 160 160
5.5 0.75 -4 -3 1.75 -0.0292969 9 6.5 -6 -52 -56
-3.5 3.25 5 -1.125 3 2 -4.5 3.75 -9 -40 -40
-2.75 -2.25 10 6 0.75 -4.5 -2.25 -6 -1.625 -52 -48
4 -5 2 4.5 -5 -1.375 9 -2.75 -1.25 -9 -8
0.75 -1.125 -1.375 -8 2.5 1.875 -0.75 7 7 -48 -48
-2.75 5.5 0.234375 6 -7.5 -9 4 9 -4 22 24
6 -4 -6.5 0.875 9 8 -4.5 1.25 1.125 52 56
-3.5 6 5.5 -8 7.5 3.25 -6.5 -10 -9 28 32
3.5 9 -7 0.9375 -2.75 10 9 -4.5 -5.5 5 6.5
7.5 3.25 7.5 7 -3 -7 2.5 -9 -9 -96 -96
4.5 6 1.875 1.375 1.125 8 -2.5 -5 3 44 44
-9 -1.375 3 -3.75 7 9 -7 5.5 1.625 -120 -112
-9 8 7.5 6 -1.375 7 -4 -5 0.875 10 3
-3.25 -3.25 -8 -6.5 3.75 2 -2.25 -7 -2.5 40 40
-5 4 -3.25 -10 3 -0.5625 -6 6.5 -7 -72 -72
-0.0292969 3.5 2.5 -9 3.75 5 -9 -7 9 64 72
-0.8125 -6.5 5 -3.75 3.25 5 4 8 -3.5 -48 -52
-0.0234375 -2.25 -8 1.5 2.25 9 0.375 1.875 -5 -26 -28
4 -8 6 3 -2.75 4.5 6.5 3.75 6 10 9
-6.5 -5.5 0.625 -0.8125 6 -9 -6.5 10 9 8 5
-6.5 4 2 -5.5 -0.0195312 -8 -1.25 -1.75 6.5 -18 -20
9 6.5 5.5 -9 -9 6.5 -0.8125 -0.46875 -2.75 -36 -40
-6 -9 4.5 -9 2.5 8 2.75 -6.5 6.5 -5.5 -14
-9 7.5 6 -8 3.25 -3.25 1.25 5.5 7.5 -80 -88
-3.5 4.5 3.5 -4.5 -6 1.75 2 8 9 8 9
-0.8125 -0.6875 1.625 7 -10 -7 1.375 4.5 -6.5 40 40
3.5 -3.75 -1.25 8 -2.5 -4.5 -9 1.375 4 36 32
-6 -10 -5.5 -0.0292969 6 3.5 -2 -4 -1.25 -60 -60
-3.5 -1.25 6.5 -6 -10 6 -7.5 5.5 -0.6875 -52 -52
-1.375 -0.171875 -8 -9 -3 6.5 -3.25 1 -1.375 20 18
6 -6.5 0.625 4 6.5 -3.75 5.5 -9 1.75 28 30
7.5 2 -6 2.75 -8 -4.5 -8 6 -6.5 -7.5 -14
-7 4 9 -1.25 0.40625 8 4 2.75 9 80 72
9 9 7.5 -1.25 -4 5 -0.234375 8 -3.5 -7 -7.5
-2.25 7 -9 5.5 -4 0.75 6.5 7.5 -1.125 -2.75 -9
1.75 3.5 -8 -4.5 2 5.5 -5 10 8 28 28
-1.375 -1.5 -1 5 -2.75 -5 5 9 -2.75 48 44
-8 6.5 7.5 0.5625 6 -3.5 -8 -4 -10 -144 -144
-6.5 3.5 -2 -1.75 10 6 6.5 -0.5625 -5 -64 -60
5.5 8 10 4 -7.5 4.5 8 -9 -7 28 36
-2.25 -2.25 -7 -4.5 3.25 -0.46875 3.75 5.5 3.75 -52 -52
7.5 -1 -2.5 -2.25 -7 -5.5 0.34375 10 -6.5 -80 -80
10 -3.75 6 4.5 -6.5 3.5 -5 9 -0.625 -72 -72
-10 6 -7.5 -8 -7 -7.5 7 -7 2.5 32 36
1.625 7 5.5 -1.25 9 -9 -1.5 10 -9 -80 -72
-6.5 1.625 3.25 -1.125 -1.25 5 -10 -3.5 10 -2.5 -2
-9 3.5 -10 -6 -3.75 7.5 -9 -5.5 3.5 192 176
-2.5 -10 0.625 2.75 -7 -9 -1.125 -9 -9 72 72
-6 2.25 0.234375 -5 -9 -0.46875 7 -1.25 -5.5 56 60
4 -2 -3.25 -9 2.5 -8 -0.125 -5.5 -3 72 72
1.875 -8 6 -4 7 -5.5 8 3.25 6.5 96 96
-4 -6 3 -5 -7 6 -4 1.625 -7 -36 -36
-6.5 7 -9 -7 -7.5 6 10 1.375 3.75 -3.5 -6
-6.5 -4.5 -3.75 6 -3.75 -8 6.5 -4.5 -8 1 0
-9 -5 -5 0.875 -10 6 -0.34375 -6.5 6.5 60 60
3.25 -1.5 1.75 -6 4.5 5.5 -9 -9 -7.5 40 40
3.25 8 10 5 10 4.5 -4 6 1.875 64 56
-0.09375 -3 6 -3 7.5 -3 -5.5 6 9 -32 -32
1.25 7 2.25 -5 -7 -5 -1.25 1 -6 -56 -56
1.75 9 3 -9 6.5 9 4 -7 7 176 160
-3 6.5 7 8 5.5 4.5 8 8 3.5 128 128
-3.5 10 6.5 2.25 7 2.5 -6.5 1.375 0.8125 -36 -40
-0.234375 -3.25 -9 -8 4 7 10 -1.125 6 -104 -96
1.875 7.5 8 -6 -2.25 2 3.25 4.5 -4.5 5 3.5
10 8 -4 -8 -1.375 -2.75 7.5 -8 -1.125 0 -1.125
-7 1.75 -3.75 3.75 6.5 5 7.5 4 3.25 -48 -44
2.25 1.375 -6.5 2.75 -8 7.5 5.5 0.21875 9 -36 -36
-9 -1.125 -7.5 -2.5 -1.125 6.5 -8 -7 3 80 80
2.25 3.25 -2 4.5 4.5 -5 -7 -9 7.5 -24 -24
9 0.25 1 -0.375 -10 7 -3 10 -9 -96 -96
3.75 3.75 -5.5 2.25 7 -3.25 7.5 -7 -2.25 -44 -44
5 10 -1.625 -3 -4 -6 -9 -5.5 0.46875 -48 -48
-10 2.75 -2.5 8 -0.0703125 -7.5 4 -5.5 5.5 -64 -64
-6.5 -10 6.5 9 -8 -7 -7 -1.625 0.75 56 64
10 1.625 9 -0.125 4 3.5 8 -8 -10 112 104
-2 -8 -5.5 8 -0.0546875 -2.25 -1.125 1.375 -8 28 28
2.75 -3.25 -0.625 -10 -2.25 0.3125 -2 -2 -2.5 11 12
5.5 -9 7 -10 4.5 3.25 -1.625 -4 7.5 32 32
2.25 -4 7 -7 -9 0.875 0.8125 6 4 -56 -52
4.5 -3.75 5.5 9 2.75 0.625 -7.5 -10 -8 -128 -128
6 4 -2.25 7 -3 6.5 -6.5 9 4.5 88 96
-7 8 6.5 -3.5 4.5 9 9 -8 3 128 128
-7.5 -1.875 9 7 -7 7 -0.0390625 -1.625 -4 24 24
-2.5 -0.0625 9 6.5 4 1.5 7 7 -6.5 96 88
7 6 1.5 9 -5.5 -1.125 -0.8125 -7.5 5.5 -104 -104
-5 -5.5 1.875 5 -3.75 7.5 6 -5 0.0429688 -40 -36
-6.5 0.375 1.125 -3 -8 -5.5 3 3 6 48 48
2.25 -2.5 -2 4.5 -2.25 5.5 -0.4375 -10 3 -60 -60
1 5.5 2.5 9 8 -9 4.5 -3.75 9 -52 -52
8 -10 -7 8 8 -6.5 7.5 3.75 4.5 120 120
1.625 6.5 3.75 -2.25 -10 7.5 2 8 6 30 28
8 -0.46875 -4 1.25 9 -0.046875 -5 -1.375 -3 96 96
2.5 3.75 -7.5 -4.5 -4.5 -1.375 -1.875 -9 -2.25 36 36
1.375 -6 -5.5 -6 -7.5 -4 -2 -4.5 -0.5625 52 52
7 -5 -8 5 9 0.3125 1.25 -0.1875 -0.5625 56 56
7 -0.28125 6 7 -4 6 -8 -5.5 -3.5 -120 -120
-4.5 -10 -3.75 -5 -6 -1.875 -1.75 8 -0.125 12 16
-9 8 -5 -2.25 2.25 -0.15625 5 -8 -4 -32 -32
1.75 0.875 -2 1.375 -2.75 6.5 9 1.875 0.6875 -13 -15
6 -7.5 -3.25 5.5 2 5 -9 7.5 -1.625 44 48
1.5 9 -5.5 9 -8 3 3.5 7.5 -8 56 52
-10 -0.875 -3 -0.625 -9 -10 -9 4.5 4.5 128 128
1.375 -8 -7 -1.75 4 7.5 -4.5 0.8125 -5.5 -30 -32
1.25 2 4.5 8 -10 6.5 -1.75 -1.125 2.25 -14 -14
9 -2 -4.5 2 9 0.25 3 -3.5 2.25 56 60
-10 -1.75 -10 8 -6 4.5 -3.5 6.5 -9 128 128
-5 4.5 2.75 10 2.75 1.5 -7.5 -4.5 9 -64 -64
4.5 -7.5 -3 -0.9375 9 -2.5 8 5 0.140625 32 28
-3 5 -4.5 6.5 -0.5 -7 2.25 -7 5 -88 -88
3.5 10 5 10 -10 9 7 5 -5.5 128 120
6.5 -9 -8 7 -0.75 -0.6875 -8 -7.5 3.5 20 16
-5 -6 8 -3.5 5 -0.5 9 0.109375 5 56 56
3.75 -2.25 -8 -7 -4 8 -6 -6.5 0.40625 60 60
9 -9 6 -3 5 5.5 -0.1875 -4 -7.5 -3 -0.5
-9 0.0703125 10 3.75 1.25 2.75 5 6 10 72 64
2 -8 -4.5 6 -2.75 -3 5 8 -5.5 40 40
9 2.25 4 -3.75 -1.25 8 -1.375 0.8125 4.5 2.5 3
-2.5 -7.5 0.3125 5 2.75 -0.625 -3.5 3.5 8 22 22
-1.625 4.5 6 9 3.75 -6 -5.5 -5.5 -10 -128 -120
-5 0.5625 -0.5625 4.5 8 6.5 -10 3.25 1.75 -15 -13
-10 -8 -10 -1.5 8 -3.5 -4 -1.875 -5 -18 -14
-4 1.875 -9 -2.25 -3.25 -3.75 5 4 6.5 -40 -40
8 -4.5 4.5 0.5 9 -5.5 4.5 3.5 0.1875 120 112
1.25 -3.25 -3 6.5 7 5 -5 -1.375 5 4 4
-7 -4.5 -2 7.5 9 7 8 -0.9375 0.625 -120 -120
-5.5 -9 1.75 -4.5 -3.25 -9 8 2.25 -1.875 104 104
5.5 10 0.8125 2.25 6.5 0.1875 5 0.15625 -2.25 36 36
-9 3.25 4 1.875 1.5 -6 -3.5 -9 -8 -72 -72
4.5 -9 -7.5 -4.5 -0.5 0.28125 0.5625 -4 3 12 12
1.25 2 -10 -0.00195312 -10 -7.5 -5 -1 -3 18 16
5.5 -5 -5.5 -6.5 4.5 -10 6 10 9 -16 -15
0.0253906 3.5 -8 2.5 -8 4.5 -9 7.5 4 112 112
1.25 -9 8 -0.140625 6 -4 -0.3125 -3.25 9 48 48
-5.5 -1.375 5 -8 3.25 -1.5 -8 3.75 -6 -96 -96
3.25 5 -5.5 8 2 7 4 6 -6.5 64 64
7.5 -4.5 6.5 7.5 -6 -6 2.25 7 8 56 60
6 -1.375 3 -9 0.8125 -0.46875 -3.5 -8 -6 60 56
0.75 2 -4 -4 4 -5 -6 -4.5 -8 28 24
-4 -7 8 0.5625 7 -8 2.25 -4.5 2 44 48
4 -0.6875 -5.5 -10 0.375 2.75 7 8 -2.75 -120 -120
-3.25 -8 -6 9 10 -3.75 10 9 5.5 24 22
-7 8 5 -9 -9 -3.25 5 4 -0.0507812 28 28
2.75 -7 0.75 6.5 -8 -1.625 4.5 0.75 1.25 -0.625 -1.25
7 1.375 10 -2.5 -0.625 -5.5 3.5 -5 9 44 44
2 -1.625 9 -0.75 -4.5 -9 -6 -7 -0.40625 -44 -44
-9 -9 3 -4.5 8 -6.5 1.5 -0.75 -4.5 -15 -8
-7.5 -0.625 4 -7 5.5 -0.6875 -8 -0.6875 -8 -72 -72
1 -6.5 -6 -10 9 3 -7.5 9 -0.40625 -56 -56
3.25 -3.5 2.5 -0.5625 8 7 -4.5 -6 -7.5 -15 -13
8 0.875 8 -4.5 -8 9 -9 -5 2.5 -104 -104
2.75 2.25 10 -5.5 10 6 -7.5 -9 -1.125 14 15
-0.5625 -7.5 9 2.5 7.5 7.5 2.5 3.25 6 -24 -26
2.25 -9 -0.03125 -1.375 0.5625 1.125 2 -6.5 5 5.5 5
9 6.5 -3.5 -7.5 5.5 -9 9 6.5 -1.375 -88 -96
1.75 -0.0703125 1.375 7 9 3.75 2.75 -6.5 6 -20 -18
10 -4.5 3.75 9 -9 -2 2.5 3.25 9 -36 -32
5 6 1.375 2.5 0.117188 -3.25 -6.5 -1.5 10 -20 -22
0.9375 10 1.875 0.6875 -1.875 -6.5 -5.5 8 0.9375 -64 -64
-9 -9 0.875 6.5 -2.25 2.75 -9 9 -10 36 40
-6 -0.9375 0.09375 -9 -8 0.625 -7.5 -6.5 -0.09375 104 112
1.125 9 3.75 9 -2.25 5 -5 -10 2.75 -64 -60
-6 9 -6.5 -8 3 4.5 0.75 -3.25 8 52 48
9 2.5 -3.75 -6 4 4.5 4.5 0.8125 -4.5 24 24
-2.25 9 -7.5 10 -4.5 -10 1.25 4 7 -40 -40
7 -8 -9 2.75 9 9 3.25 4.5 -4 -28 -32
-9 -7 0.101562 -7 7.5 7.5 -4.5 -6 2 -80 -72
10 -1.625 -5 -5 3.75 -6 8 -4 1 28 28
-5.5 -0.875 1.25 4 -3 9 0.9375 2.5 -5 15 15
6 -7 -0.5 -6.5 3.5 -0.0625 7 -9 6 80 88
-1.75 6.5 7 -5 -7.5 -2 0.8125 -3.5 3.5 26 28
-7.5 -2.5 -2 5.5 4.5 -5 3 4.5 -1.625 -5 -3.5
7 7.5 -2.25 -3 -2.5 -4 -1.5 7 -8 -72 -72
-9 -3.75 -2 3.25 -1.25 -5.5 4.5 -0.140625 8 32 32
4 -4 1.5 -3.5 7 7.5 -6.5 9 8 -36 -36
6.5 -1.625 -0.9375 -1.125 -8 -8 3.25 1.75 -7.5 -52 -56
-0.4375 -0.875 5 1.625 -7.5 -3.75 -5 -1.875 -0.75 -24 -20
10 -5.5 9 -10 -4 5.5 1.75 -9 -10 26 22
7 -4.5 3.5 8 4 -0.0429688 0.203125 4.5 -3.25 60 60
5.5 -5.5 4.5 4 1.125 -7 -7 -4 -9 -12 -9
-10 9 -1.625 -5 8 -7 -2 7.5 -5.5 -176 -176
8 -6.5 9 -9 -6 0.3125 -3 9 -1.625 -160 -160
1.875 3 2 4 9 -7.5 -8 -7 2 -48 -48
6.5 -7 8 -9 -6.5 3 -6 -5 -1.25 -64 -64
5.5 7.5 -4 4 -3.75 -6 -0.625 -3.25 -3.5 -88 -72
0.046875 -2 -8 0.6875 4 -4.5 -9 0.75 2.75 80 80
-7.5 -2.75 1.25 -1.5 -6.5 -7 -6.5 3.5 -0.0546875 52 52
-1.125 -1.875 10 3 -8 -8 6.5 -7 9 72 72
6.5 8 10 2.25 -1.5 5 -1.875 -8 0.625 -5 -5.5
-6 9 8 6.5 -6.5 -3.75 -9 -7.5 -3 -120 -112
4.5 -4.5 9 5 0.46875 -2.75 -3.25 -9 4 -56 -56
-7 3.25 0.40625 -9 9 -0.9375 5.5 2 -0.34375 -80 -80
5.5 -1.875 -10 -5.5 5 8 -4.5 8 -1.875 12 10
6 4 4 -0.234375 9 -4.5 -1.75 -2 10 40 40
-6.5 -10 1.375 7.5 4.5 -7.5 7.5 -6.5 -0.9375 7 -0.9375
-5.5 8 -4.5 -6 1.375 -5.5 -9 -0.46875 10 3.25 1
10 -2.75 5.5 5 6.5 4 3.75 -9 -8 20 20
-0.171875 1.125 0.75 10 -5 7 9 -1.125 7 11 12
3 -7.5 8 8 -3.75 -5.5 4.5 -0.117188 1.75 64 64
7.5 -6 -8 -9 -1.875 7.5 -9 7 -5.5 -56 -52
4.5 -9 6.5 9 -4.5 3.25 6.5 10 9 96 88
8 -7.5 -9 -1.5 4.5 6.5 -2.25 1.5 -0.25 5 6
8 7 3 -5.5 5.5 -4.5 -4.5 -4 2.75 24 22
7.5 1.5 6 -4.5 -6 3.75 4 9 5 -52 -52
-7.5 5.5 -2.5 -4.5 0.15625 8 -3.75 0.9375 -4.5 44 44
8 2.25 -9 2.75 -0.9375 -10 -5.5 3.25 2.5 30 30
3 1.375 -1.5 0.8125 3.75 -3.75 -4.5 -7.5 -9 -2.25 -2
0.4375 -7.5 -3.25 3.25 -0.375 6.5 -2 3 0.101562 -30 -30
9 -2.5 7.5 -3.25 1.375 9 -6.5 -0.9375 -0.8125 -56 -52
3 -10 -8 -8 -9 8 7 -8 5 -96 -88
8 -9 -6 10 -6.5 2.5 3.5 3.5 9 -52 -52
9 0.078125 -5 0.875 3.5 -8 4.5 -1.625 9 16 18
-8 -9 -8 -2.25 -6.5 3.5 -7 1 5 80 88
3 -2.25 -4.5 -1.75 8 -0.28125 6 -2 -5 -3.5 -5.5
-3.25 1 3.75 2.5 -0.625 -4.5 3.5 4.5 4.5 26 24
5.5 -0.109375 -7.5 0.375 4.5 -8 -8 7.5 -7 80 72
-2.75 -0.46875 -7.5 -7.5 -0.8125 9 -9 2.25 -5.5 44 44
-7.5 1.625 1 -0.625 6 7.5 -4 -7.5 3.5 -28 -28
3.25 4 6.5 -1.5 2.25 2.25 1.375 0.234375 2.75 28 26
-1 5 -10 2.25 1.125 -2 -6 -8 2 32 32
-6 -2.75 -10 6 -8 5.5 -6.5 8 -4.5 144 144
4.5 -1.375 1.125 -3.25 -7 9 -10 8 8 -72 -72
-4 -10 0.875 8 4.5 -3.5 -3.5 3.75 7 48 52
-4.5 -8 -6 -3.25 6.5 4 -3.5 9 6 -64 -64
6.5 -0.6875 -0.40625 -3.75 -0.9375 -4 0.28125 -7.5 -9 16 15
10 -5.5 -9 5.5 -1.375 -4.5 -9 3.5 -7.5 96 104
4.5 10 6.5 2.25 10 -0.0175781 -2 -4.5 -7.5 14 14
4.5 9 -8 -9 -8 -1.25 -1.375 2.75 -5 -64 -64
0.8125 -9 -6 -8 7.5 -1.25 10 -1 10 -24 -26
-8 9 1.625 -6.5 -1 7.5 1.625 -9 6.5 144 128
-2.5 -3 9 8 7.5 -8 -3.75 -2.5 -3 -52 -52
-8 0.5625 0.4375 7 -0.875 -3.75 8 -4.5 -7 -30 -32
7 -8 -1.25 5 -9 4.5 -9 6.5 -0.875 -56 -56
8 -6 8 -6 -4.5 8 7.5 3.25 5.5 -40 -36
-7 2.5 2.5 -6.5 2 -7.5 -6 -7.5 -5 -7 -5
-3.5 7 1.375 -9 -6.5 -9 -5 -4 0.9375 -12 -11
9 -9 -6 8 5.5 8 0.4375 0.8125 4.5 -12 -16
